"Rank","Player","Year","Pos","Team","BaseSalary","Payroll Salary","Adj Salary",""
"","Eric Hosmer","2021","1B","SD","$20,000,000","$21,000,000","$21,000,000",""
"","Johnny Cueto","2021","SP","SF","$21,000,000","$21,000,000","$21,000,000",""
"","Josh Donaldson","2021","3B","MIN","$21,000,000","$21,000,000","$21,000,000",""
"","Andrew McCutchen","2021","LF","PHI","$20,000,000","$20,000,000","$20,000,000",""
"","J.T. Realmuto","2021","C","PHI","$20,000,000","$20,000,000","$10,000,000",""
"","Xander Bogaerts","2021","SS","BOS","$20,000,000","$20,000,000","$20,000,000",""
"","Hyun-Jin Ryu","2021","SP","TOR","$20,000,000","$20,000,000","$20,000,000",""
"","Kenley Jansen","2021","RP/CL","LAD","$20,000,000","$20,000,000","$20,000,000",""
"","Kris Bryant","2021","3B","SF","$19,500,000","$19,500,000","$6,814,535",""
"","J.D. Martinez","2021","DH","BOS","$19,350,000","$19,350,000","$19,350,000",""
"","Madison Bumgarner","2021","SP","ARI","$19,000,000","$19,000,000","$14,000,000",""
"","Marcus Stroman","2021","SP","NYM","$18,900,000","$18,900,000","$18,900,000",""
"","Kevin Gausman","2021","SP","SF","$18,900,000","$18,900,000","$18,900,000",""
"","Matt Carpenter","2021","3B","STL","$18,500,000","$18,500,000","$18,500,000",""
"","Evan Longoria","2021","3B","SF","$18,500,000","$18,500,000","$16,500,000",""
"","Trevor Story","2021","SS","COL","$17,500,000","$18,500,000","$18,500,000",""
"","Kyle Seager","2021","3B","SEA","$18,000,000","$18,500,000","$18,500,000",""
"","Yasmani Grandal","2021","C","CHW","$18,250,000","$18,250,000","$18,250,000",""
"","Dallas Keuchel","2021","SP","CHW","$18,000,000","$18,000,000","$18,000,000",""
"","Marcus Semien","2021","SS","TOR","$18,000,000","$18,000,000","$18,000,000",""
"","A.J. Pollock","2021","LF","LAD","$15,000,000","$18,000,000","$18,000,000",""
"","Jose Abreu","2021","1B","CHW","$16,000,000","$17,666,666","$17,666,666",""
"","Brandon Belt","2021","1B","SF","$16,000,000","$17,200,000","$17,200,000",""
"","Aroldis Chapman","2021","RP/CL","NYY","$15,000,000","$17,200,000","$14,838,710",""
"","Nathan Eovaldi","2021","SP","BOS","$17,000,000","$17,000,000","$17,000,000",""
"","Miles Mikolas","2021","SP","STL","$15,750,000","$16,750,000","$16,750,000",""
"","Dexter Fowler","2021","RF","LAA","$14,500,000","$16,500,000","$1,750,000",""
"","Anthony Rizzo","2021","1B","NYY","$16,500,000","$16,500,000","$0",""
"","Yusei Kikuchi","2021","SP","SEA","$15,000,000","$16,500,000","$16,500,000",""
"","Cody Bellinger","2021","CF","LAD","$16,100,000","$16,100,000","$16,100,000",""
"","Lorenzo Cain","2021","CF","MIL","$17,000,000","$16,000,000","$16,000,000",""
"","Craig Kimbrel","2021","RP","CHW","$16,000,000","$16,000,000","$5,591,430",""
"","Michael Brantley","2021","LF","HOU","$16,000,000","$16,000,000","$16,000,000",""
"","Marcell Ozuna","2021","LF","ATL","$16,000,000","$16,000,000","$16,000,000",""
"","Danny Duffy","2021","SP","LAD","$15,500,000","$15,500,000","$500,000",""
"","Brandon Crawford","2021","SS","SF","$15,000,000","$15,200,000","$15,200,000",""
"","Alex Cobb","2021","SP","LAA","$15,000,000","$15,000,000","$5,000,000",""
"","D.J. LeMahieu","2021","3B","NYY","$15,000,000","$15,000,000","$15,000,000",""
"","Charlie Morton","2021","SP","ATL","$15,000,000","$15,000,000","$15,000,000",""
"","Jean Segura","2021","SS","PHI","$14,250,000","$14,850,000","$14,850,000",""
"","Salvador Perez","2021","C","KC","$13,000,000","$14,200,000","$14,200,000",""
"","Nick Castellanos","2021","RF","CIN","$14,000,000","$14,075,000","$13,849,496",""
"","Kyle Hendricks","2021","SP","CHC","$14,000,000","$14,000,000","$14,000,000",""
"","Christian Yelich","2021","LF","MIL","$14,000,000","$14,000,000","$14,000,000",""
